,sector,annual return log,Std
MMM,Industrials,0.02779481788489044,0.40113532058947826
ABT,Health Care,0.21221523262024797,0.4207742218487101
ABBV,Health Care,0.24447531827908237,0.3728834080740776
ABMD,Health Care,0.38350291603564113,0.4493923004786417
ACN,Information Technology,0.21909155038954845,0.43942402049155777
ATVI,Communication Services,0.2639481809365256,0.41219726629967285
ADBE,Information Technology,0.34413132826014603,0.5133514193313428
AMD,Information Technology,0.6180576233589817,0.6437864481556774
AAP,Consumer Discretionary,0.01235013201610151,0.5026053042782387
AES,Utilities,0.06811590910757388,0.6317085571507786
AFL,Financials,-0.13969015030616816,0.6203641902619098
A,Health Care,0.29194413316804557,0.3908675086794949
APD,Materials,0.20526888873053117,0.4696563579123897
AKAM,Information Technology,0.10329356708239697,0.40765743438234914
ALK,Industrials,-0.24305949570369037,0.8644020465239146
ALB,Materials,0.6054256944666839,0.6577413193762289
ARE,Real Estate,0.00793971095268756,0.4527997336188256
ALXN,Health Care,0.09816188770113196,0.4177180980676577
ALGN,Health Care,0.6422018671767697,0.7376843890782766
ALLE,Industrials,-0.10418753731569795,0.49313416493931167
LNT,Utilities,-0.04849445038554946,0.4121112671577124
ALL,Financials,-0.1269216655244163,0.4658770399184942
GOOGL,Communication Services,0.20311252520625134,0.4109988052432812
GOOG,Communication Services,0.2062392426222742,0.40960612373595723
MO,Consumer Staples,-0.19434666907607986,0.3876530450895325
AMZN,Consumer Discretionary,0.6076464539102359,0.4084282688444351
AMCR,Materials,0.1440904880552897,0.5119827418472164
AEE,Utilities,0.0299287616888267,0.4636686857248382
AAL,Industrials,-0.694733866079961,1.0758429729286278
AEP,Utilities,-0.13925054661668326,0.4120937135687919
AXP,Financials,-0.07589768392085247,0.6772661833240737
AIG,Financials,-0.2556870606022716,0.7756894998697517
AMT,Real Estate,-0.003148292691227469,0.46787771594158134
AWK,Utilities,0.18057592139468248,0.45627197694788346
AMP,Financials,0.16036453986010485,0.7447150129601801
ABC,Health Care,0.1631598975251167,0.4398098192098362
AME,Industrials,0.20346972371995087,0.5015179973010335
AMGN,Health Care,-0.056335474270848805,0.40611918613695613
APH,Information Technology,0.23046739390153154,0.4439592709368359
ADI,Information Technology,0.17098029610011603,0.5388477081365777
ANSS,Information Technology,0.19224189524154167,0.4901528471320136
ANTM,Health Care,0.023791202751206844,0.5865186097204838
AON,Financials,-0.007044699341166634,0.426798095010434
AOS,Industrials,0.23557780706730494,0.40282814679522405
APA,Energy,-0.9363530622065098,1.406480436956848
AIV,Real Estate,-0.23395766411299102,0.6554034896719139
AAPL,Information Technology,0.4659104098461348,0.4950552344856566
AMAT,Information Technology,0.3071504523058325,0.6412745878454443
APTV,Consumer Discretionary,0.3107304556728737,0.8044172046081487
ADM,Consumer Staples,0.17025947290202453,0.4285434867839403
ANET,Information Technology,0.2347435638496282,0.5206509947898977
AJG,Financials,0.23440595111604612,0.4375390211583654
AIZ,Financials,0.05383772922762649,0.5305625618827094
T,Communication Services,-0.2699068023994445,0.3782453882698708
ATO,Utilities,-0.1601197222503636,0.4406187834666945
ADSK,Information Technology,0.3799903580521347,0.5408121800890706
ADP,Information Technology,0.007657052697263242,0.4823276877579024
AZO,Consumer Discretionary,-0.02594290746825426,0.44556966580442064
AVB,Real Estate,-0.25363510023945135,0.5443200458166367
AVY,Materials,0.19190053511232225,0.5152370574878367
BKR,Energy,-0.11303326079516353,0.7495013481654559
BLL,Materials,0.3916323519645041,0.4173073708754025
BAC,Financials,-0.16962926950318824,0.6264914213589643
BK,Financials,-0.13422685444492602,0.5150810514016917
BAX,Health Care,-0.2110118682150816,0.39311211280654
BDX,Health Care,-0.22044291894321452,0.3899229130022258
BRK-B,Financials,0.0227398046526973,0.37522440716711497
BBY,Consumer Discretionary,0.29623705094526487,0.5519854674470229
BIO,Health Care,0.37660181472360826,0.4309622541056007
BIIB,Health Care,-0.20094654042631208,0.716261354632078
BLK,Financials,0.3560289202991386,0.5126332843600006
BA,Industrials,-0.4185394054048246,0.9416472799213743
BKNG,Consumer Discretionary,0.04214929186784604,0.5542475066942877
BWA,Consumer Discretionary,-0.02325053723618321,0.5366008729348467
BXP,Real Estate,-0.32911466459156935,0.6219317117876995
BSX,Health Care,-0.3181995031270755,0.4752429369759421
BMY,Health Care,-0.05502339014200461,0.31251796052936454
AVGO,Information Technology,0.31981365277958784,0.5570482978894369
BR,Information Technology,0.13138789238119086,0.3834185262231506
BF-B,Consumer Staples,0.16433690030985743,0.4249295753817591
CHRW,Industrials,0.19467338361829198,0.34615037801322557
COG,Energy,0.1846443163910332,0.5402330061616701
CDNS,Information Technology,0.4848681363398157,0.49167863082143926
CPB,Consumer Staples,0.03404550516497178,0.3427130960367538
COF,Financials,-0.13395623535687742,0.7833286751734657
CAH,Health Care,0.02956375282224358,0.4855250930078662
KMX,Consumer Discretionary,-0.007444633971413924,0.6180808328819469
CCL,Consumer Discretionary,-1.0341445387831865,1.3218371105579374
CARR,Industrials,1.6915436307333584,0.6594526102676426
CTLT,Health Care,0.5026274879947152,0.563167148646539
CAT,Industrials,0.23657732005641524,0.4831265698002683
CBOE,Financials,-0.27379250305648634,0.4658114915305733
CBRE,Real Estate,0.0030511049350623325,0.6719366718234142
CDW,Information Technology,-0.02110667332593902,0.5366643818012421
CE,Materials,0.17376900204008935,0.5843490690254581
CNC,Health Care,-0.06032043917335555,0.5682060143130967
CNP,Utilities,-0.07478511174845272,0.637609903049592
CERN,Health Care,-0.016873159630455627,0.33709370717410836
CF,Materials,-0.12795165324689808,0.6275382042030428
SCHW,Financials,0.05209217515312564,0.5661715622253105
CHTR,Communication Services,0.3002550747581692,0.3726273595987402
CVX,Energy,-0.17698709513325322,0.6604016130232327
CMG,Consumer Discretionary,0.446467421797565,0.5277050179851639
CB,Financials,0.021930816663441238,0.5232937409744981
CHD,Consumer Staples,0.20719416187888726,0.34899047086023827
CI,Health Care,-0.03304055219988801,0.5703486188298176
CINF,Financials,-0.32422497385216653,0.6321105724562622
CTAS,Industrials,0.29851943260276803,0.560522855334597
CSCO,Information Technology,-0.13038857661374473,0.45096424114223416
C,Financials,-0.3466311755377684,0.7259390297922835
CFG,Financials,-0.10138156827812367,0.8262090501206721
CTXS,Information Technology,0.04425247521685044,0.4393620502771156
CLX,Consumer Staples,0.2971564291700255,0.34556830525950194
CME,Financials,-0.1808021811542571,0.5186688700428107
CMS,Utilities,-0.0327163155562959,0.41467956007529533
KO,Consumer Staples,-0.05975798206525904,0.37254171112892465
CTSH,Information Technology,0.2863049325581894,0.5173411397455858
CL,Consumer Staples,0.22918631529661238,0.33818101519774507
CMCSA,Communication Services,0.1263955710684346,0.40623688637830774
CMA,Financials,-0.19232277997921327,0.8216938566866581
CAG,Consumer Staples,0.13266390955557525,0.3563092678944083
CXO,Energy,-0.3672005028147863,0.7383069470640883
COP,Energy,-0.4016042865863082,0.7757362142802547
ED,Utilities,-0.12307841153147543,0.4398853326193821
STZ,Consumer Staples,0.1052729390506845,0.49069124310592444
COO,Health Care,-0.10012478736760269,0.4258210035312341
CPRT,Industrials,0.17706705752724813,0.4677047074223736
GLW,Information Technology,0.3017030883251055,0.5458834585751832
CTVA,Materials,0.40351632475269894,0.5475265151325612
COST,Consumer Staples,0.25874792426749654,0.3064192847710665
CCI,Real Estate,0.1509847510247342,0.4555599678468993
CSX,Industrials,0.2561890688126302,0.49433571938565846
CMI,Industrials,0.37998668628577315,0.45896758171739244
CVS,Health Care,-0.07777805603338393,0.41981302600931736
DHI,Consumer Discretionary,0.3478080844942957,0.6384374861344795
DHR,Health Care,0.3338317016205869,0.3583664558291441
DRI,Consumer Discretionary,-0.03769618598911403,0.8880083478926248
DVA,Health Care,0.368738403509089,0.438881036046082
DE,Industrials,0.47867725276610557,0.4865627670652589
DAL,Industrials,-0.4345695363711919,0.875232088645409
XRAY,Health Care,-0.18010363177647634,0.5123855578561427
DVN,Energy,-0.5240195632168517,1.0578469047048873
DXCM,Health Care,0.3496107307542192,0.5890003607209535
FANG,Energy,-0.7353225193952256,1.1558606455808373
DLR,Real Estate,0.11741596720393692,0.46088737164151855
DFS,Financials,-0.026252610017758863,0.9232412634257806
DISCA,Communication Services,-0.1842298119077839,0.5491395747825625
DISCK,Communication Services,-0.24406668715237126,0.5461404512025358
DISH,Communication Services,-0.018882143413779327,0.6676683258044956
DG,Consumer Discretionary,0.38038593089013917,0.3290377194148763
DLTR,Consumer Discretionary,0.25882109321073693,0.507419979004443
D,Utilities,-0.02665683984938123,0.4821978235064829
DPZ,Consumer Discretionary,0.35311928580141977,0.44871808511564915
DOV,Industrials,0.07575957330814509,0.502763349272069
DOW,Materials,0.13964402772992843,0.6730602513262007
DTE,Utilities,0.019686429265555517,0.5157731649931777
DUK,Utilities,0.06653133362188268,0.44310899827504313
DRE,Real Estate,0.11691913347664058,0.5026321005829897
DD,Materials,0.07814799630582321,0.5465066292387885
DXC,Information Technology,-0.43827382655115343,1.0041338528772172
EMN,Materials,0.3623636248084984,0.5519522203101493
ETN,Industrials,0.33715021024297953,0.5479323329084954
EBAY,Consumer Discretionary,0.415829503575921,0.4014889869910552
ECL,Materials,0.1354479383374358,0.5151958055263263
EIX,Utilities,-0.197595224654717,0.4865650813400642
EW,Health Care,0.049574590311726535,0.4685621811477681
EA,Communication Services,0.09081758869092771,0.38571474948761925
EMR,Industrials,0.050257605053542126,0.5823216008854505
ETR,Utilities,-0.10700229017456353,0.5049882121914335
EOG,Energy,-0.5064855637438143,0.8136559323667545
EFX,Industrials,0.09654836202606056,0.4387374651996599
EQIX,Real Estate,0.2062942929083974,0.43035195941054416
EQR,Real Estate,-0.3371840225657085,0.5411576902837644
ESS,Real Estate,-0.20301008820201288,0.545400067078782
EL,Consumer Staples,0.1519987806500838,0.4405353664628928
ETSY,Consumer Discretionary,1.2266663367490935,0.7457505641393378
EVRG,Utilities,-0.1932412184267179,0.5327968364254791
ES,Utilities,0.005416138979498675,0.483591043792999
RE,Financials,-0.16730882673947095,0.5333553035942713
EXC,Utilities,-0.09583174912035267,0.5237880369273852
EXPE,Consumer Discretionary,0.13455241297651743,0.7593428097770769
EXPD,Industrials,0.23998191612704767,0.3338819884180176
EXR,Real Estate,0.02375766768532428,0.4444351455043358
XOM,Energy,-0.4988094441673417,0.5587734608352313
FFIV,Information Technology,0.2320012242946872,0.44277698629713086
FB,Communication Services,0.25522298347964323,0.4908105099467975
FAST,Industrials,0.37493001203874726,0.41326467162030894
FRT,Real Estate,-0.3824740657743609,0.7129813048297938
FDX,Industrials,0.7198845882277135,0.5603720438565903
FIS,Information Technology,0.01148618401833252,0.4798457129965994
FITB,Financials,-0.04778718750658201,0.7951242535555029
FE,Utilities,-0.6702456372271169,0.5831312836104161
FRC,Financials,0.15610067562735586,0.5090901816297739
FISV,Information Technology,-0.055771304475532336,0.5057938597342881
FLT,Information Technology,-0.16619805589557854,0.5758681071030218
FLIR,Information Technology,-0.3492644644749086,0.6134120696346415
FLS,Industrials,-0.3732453067719968,0.6839775876655675
FMC,Materials,0.21864685908416379,0.5558497269307145
F,Consumer Discretionary,0.0030894018413989365,0.5972594511910527
FTNT,Information Technology,0.021811173562206368,0.5741662157941331
FTV,Industrials,0.11436518029727512,0.4941293829961506
FBHS,Industrials,0.2415392943850132,0.6165302077697074
FOXA,Communication Services,-0.3185658971240842,0.5221207349764797
FOX,Communication Services,-0.3113054585032789,0.5150490423172429
BEN,Financials,-0.10686369466857343,0.5832033265476555
FCX,Materials,0.7601344854765295,0.760026787078428
GPS,Consumer Discretionary,0.2467676108654695,0.9989955791242497
GRMN,Consumer Discretionary,0.19411503063626437,0.3995646222323498
IT,Information Technology,-0.05451113749731484,0.5241224301464933
GD,Industrials,-0.19098178391695178,0.4321479791790888
GE,Industrials,-0.11742120394317831,0.6728900095340727
GIS,Consumer Staples,0.14459004942606402,0.32897512885773583
GM,Consumer Discretionary,0.319544935289455,0.6555850259768383
GPC,Consumer Discretionary,0.0013130793697752237,0.5505271186650399
GILD,Health Care,-0.026498760648513066,0.3987507382737579
GL,Financials,-0.0747556651086425,0.5709363179140655
GPN,Information Technology,-0.0066047836519205535,0.5865198355943696
GS,Financials,-0.022902377615046956,0.554696076965312
GWW,Industrials,0.27188182004203165,0.45621557743345154
HAL,Energy,-0.31362680366635515,1.041207672831504
HBI,Consumer Discretionary,0.08026977243617783,0.6894287048739585
HIG,Financials,-0.2786619933175565,0.7010400317811973
HAS,Consumer Discretionary,-0.1102645208197649,0.585050304475995
HCA,Health Care,0.054097333308040396,0.6508383166606916
PEAK,Real Estate,-0.15789787081454545,0.6353385619200359
HSIC,Health Care,-0.09566201588569836,0.4718497443626606
HSY,Consumer Staples,-0.011149805013441342,0.4074082079394665
HES,Energy,-0.28671119256210714,0.8647277966235815
HPE,Information Technology,-0.28939427320373473,0.587198024167565
HLT,Consumer Discretionary,-0.04468591893543793,0.5482190940065632
HFC,Energy,-0.6643891141324686,0.8312809404481728
HOLX,Health Care,0.2683555275845216,0.5042690082217087
HD,Consumer Discretionary,0.2100460176210026,0.4783129030135543
HON,Industrials,0.18777255283144834,0.48479077961642225
HRL,Consumer Staples,0.014934355267590543,0.3179403592515107
HST,Real Estate,-0.18614735360789084,0.7191072760885819
HWM,Industrials,-0.20958329963373076,0.8232923862945989
HPQ,Information Technology,0.048268998674572135,0.5939147093702679
HUM,Health Care,0.11650282099769559,0.5386595727128667
HBAN,Financials,-0.10837331369023355,0.7005769973743458
HII,Industrials,-0.5802940471257672,0.4834229875507849
IEX,Industrials,0.11779412990515752,0.41507824109348096
IDXX,Health Care,0.5243781956344374,0.4419837154870701
INFO,Industrials,0.17517329871974335,0.4641819622366666
ITW,Industrials,0.2227830318495329,0.454497958373493
ILMN,Health Care,-0.08990008225471119,0.4909396465490117
INCY,Health Care,0.03665072970363812,0.4288681727494125
IR,Industrials,0.3499054052814928,0.5489070522305693
INTC,Information Technology,-0.2656471096113425,0.5706005377361902
ICE,Financials,0.09486448777280582,0.41100861528186533
IBM,Information Technology,-0.07313622725697169,0.44015199637930014
IP,Materials,0.22138795334100206,0.5529665958930274
IPG,Communication Services,0.0005549494886520215,0.6152857061633971
